"","row_names","id","created","contract_time","contract_type","salary_min","salary_max","salary_is_predicted","description","title","company.display_name","company.canonical_name","category.tag","category.label","location.display_name","longitude","latitude","date_queried","available_today","location_coords","day_created"
"22","25","396094888","2016-06-06",NA,NA,29363.08,29363.08,"1","<strong>Data</strong> <strong>Science</strong> Engineer Sports/Media/Digital Agency SQL/Python/Java Leeds £45000 OVERVIEW An incredibly advanced Digital Agency are looking for a <strong>Data</strong> <strong>Science</strong> Engineer who is ready ...  make your mark on Digital Analytics. YOUR ROLE As the <strong>Data</strong> <strong>Science</strong> Engineer you can expect to: Design, document and deliver a highly innovative data solution using Oracle Big Data ...","<strong>Data</strong> <strong>Science</strong> Engineer","Harnham",NA,"it-jobs","IT Jobs","Leeds, West Yorkshire",-1.54912,53.799599,"2016-06-21 15:55:55",FALSE,"-1.54912 53.799599",2016-06-06
"62","19","386549832","2016-05-11",NA,NA,35000,35000,"0","Data Analytics Professionals - A chance to break into <strong>Data</strong> <strong>Science</strong> My client is a leading Tech company with an amazing customer portfolio including the world's largest Financial ... , Legal, Media and Not for profit companies. They are an innovative business who are looking to drive data driven decision making by bolstering their <strong>Data</strong> <strong>Science</strong> team. They are looking ...","Analytics Professionals looking to break into <strong>Data</strong> <strong>Science</strong>","Churchill Frank",NA,"it-jobs","IT Jobs","South East London, London",-0.02806,51.451818,"2016-06-22 00:03:18",FALSE,"-0.02806 51.451818",2016-05-11
"69","26","390737789","2016-05-22","full_time",NA,85000,85000,"0","<strong>DATA</strong> <strong>SCIENCE</strong> ENGINEER OPPORTUNITY IN LONDON - £80,000 An exciting opportunity has arisen for a permanent role as a <strong>Data</strong> <strong>Science</strong> Engineer within in UK. The client is looking ...  for talented <strong>Data</strong> <strong>Science</strong> Engineer who is has a strong passion for innovation. This is a great opportunity working within a new successful <strong>Data</strong> <strong>Science</strong> team. What Essential Skills ...","<strong>Data</strong> <strong>Science</strong> Engineer","Churchill Frank",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-05-22
"76","33","399908516","2016-06-15","full_time",NA,32064.25,32064.25,"1","...  thinking Able to learn new skills and concepts quickly Interest in <strong>Data</strong> <strong>Science</strong>, Big <strong>Data</strong>, Machine Learning and Predictive Analytics What Will You Be Doing (Responsibilities)? Investigate ...","<strong>Data</strong> <strong>Science</strong> Graduate","Product Madness",NA,"unknown","Unknown","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-06-15
"86","43","401332541","2016-06-20",NA,NA,50000,59999,"0","An exciting opportunity to join a rapidly expanding team, within their offices In Maidenhead. The candidate will provide insightful, actionable analyses and innovative solutions to impact the brands' revenue, productivity, operational efficiencies, customer behaviour and segmentation, using statistical modelling and machine learning techniques to provide key actionable insights to both clients and stakeholders.Responsibilities: - Work with existing and new technologies to shape the development …","<strong>Data</strong> <strong>Science</strong> Manager","Jobg8",NA,"unknown","Unknown","Maidenhead, Windsor & Maidenhead",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-20
"87","44","401332520","2016-06-20",NA,NA,50000,59999,"0","An exciting opportunity to join a rapidly expanding team, within their offices In London. The candidate will provide insightful, actionable analyses and innovative solutions to impact the brands' revenue, productivity, operational efficiencies, customer behaviour and segmentation, with a particular focus on their bricks and mortar operationsResponsibilities: - Work with existing and new technologies to shape the development of analytical insight delivery- Uses statistical data approaches to unc…","<strong>Data</strong> <strong>Science</strong> Manager","Jobg8",NA,"unknown","Unknown","London, UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-20
"115","76","400879494","2016-06-18",NA,NA,30000,39999,"0","Data Engineer - Python, Java, SQL, Unix Our customer a household name in Finance is looking to hire a Data Engineer to join a small but very experienced <strong>Data</strong> <strong>Science</strong> team ...  and rapid transitioning of prototype data products into robust product assets.To establish credibility and thought leadership in the area of <strong>data</strong> <strong>science</strong> and to engage with the enterprise ...","<strong>Data</strong> <strong>Science</strong> Engineer - Python or Java, SQL, Unix","Jobg8",NA,"unknown","Unknown","London, UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-18
"119","80","399595332","2016-06-15",NA,"permanent",1e+05,140000,"0","One the leading global media agencies are looking for a Director of Data & Analytics with a background in one of machine learning, statistical analysis or big data. You will need to be able to operate confidently at the top of an organisation whilst able to shape solutions that deliver tangible, valuable impact. This is an exciting opportunity to drive forward a green field practice within the business which focuses on developing innovative methods to manage and analysis data that helps drive c…","Director of <strong>Data</strong> &amp; Analytics (<strong>Data</strong> <strong>Science</strong> / Big <strong>Data</strong>)","onezeero",NA,"creative-design-jobs","Creative & Design Jobs","South East England, UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-15
"143","109","399921591","2016-06-16",NA,"permanent",65000,65000,"0","...  aggressive delivery plans. The company is proud to be at the cutting edge of using probabilistic models and <strong>data</strong> <strong>science</strong> in traditional industries. Not a company with a <strong>data</strong> <strong>science</strong> ...  function; they're a functioning <strong>data</strong> <strong>science</strong> company. Joining their team will expose you, if you want it, to learning about the very exciting machine learning technologies we use ...","Senior Software Engineer - Python / Django","IC Resources",NA,"it-jobs","IT Jobs","South East London, London",-0.02806,51.451818,"2016-06-22 00:03:18",FALSE,"-0.02806 51.451818",2016-06-16
"149","115","400480964","2016-06-17",NA,"permanent",0,45000,"0","Presales Engineer / <strong>Data</strong> Scientist / <strong>Data</strong> <strong>science</strong> / predictive analytics / London Love data? We are working with a leading predictive analytics vendor who are reinventing <strong>data</strong> ...  <strong>science</strong>. As a Presales Engineer / <strong>Data</strong> Scientist you will be using this cutting edge platform on BI data from a wide variety of companies, demonstrating how they can improve ...","Presales Engineer / Data Scientist","ITS European.",NA,"it-jobs","IT Jobs","Covent Garden, Central London",-0.12845,51.5114,"2016-06-22 00:03:18",FALSE,"-0.12845 51.5114",2016-06-17
"166","132","386554170","2016-05-11",NA,NA,35000,35000,"0","...  industry for more than 70 years are looking to recruit across their talented <strong>Data</strong> <strong>Science</strong> and Analytics teams. The head of BI is looking to bring on 2 new analysts to join his team ...  with a strong background in relational databases and reporting tools. They are using some interesting technologies and have new <strong>data</strong> <strong>science</strong> function using predictive tools such as R so if you ...","Sales and Forecasting Data Analyst SQL, Reporting","Harnham",NA,"it-jobs","IT Jobs","Addlestone, Surrey",-0.492792,51.370899,"2016-06-22 00:03:18",FALSE,"-0.492792 51.370899",2016-05-11
"173","140","396187932","2016-06-06",NA,"permanent",36090.71,36090.71,"1","...  of the commercial world? Are you ready to step up and shape the <strong>data</strong> <strong>science</strong> function within an organisation? Our highly regarded insurance client is looking for a Data Scientist to define ...  the scope of their brand new <strong>data</strong> <strong>science</strong> division, giving you a career defining opportunity to have a real input in the future of <strong>data</strong> <strong>science</strong> within an insurance giant. You will need ...","Data Scientist",NA,NA,"it-jobs","IT Jobs","Cwmbran, Torfaen",-3.02562,51.6483,"2016-06-22 00:03:18",FALSE,"-3.02562 51.6483",2016-06-06
"190","161","401432730","2016-06-20",NA,NA,55740.4,55740.4,"1","BI Engineer Global Entertainment Technology Python/<strong>Data</strong> <strong>Science</strong>/ ETL/ SQL/ SPSS Central London £60000 - £65000 OVERVIEW The most advanced Entertainment Technology conglomerate ...  are looking for an excellent BI Engineer to develop a global BI platform to enable mass scale analytics for their leading <strong>Data</strong> <strong>Science</strong> team. THE COMPANY If you're interested in working ...","BI Engineer","Harnham",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-20
"194","165","396133670","2016-06-06",NA,"permanent",41516.57,41516.57,"1","...  quantities of recorded data, hardware-in-the-loop test systems, ""<strong>data</strong> <strong>science</strong>"" style results analysis, visualisation & reporting mechanisms and various systems engineering, systems ...  Experience: scientific, quantitative, algorithmic or ""<strong>data</strong> <strong>science</strong>"" software development. Experience with embedded software development is also a plus, but is not expected. Some C or C++ ...","Scientific Sofware Engineer, C++, Physics, Maths, Stats,Sussex",NA,NA,"it-jobs","IT Jobs","Brighton, East Sussex",-0.13642,50.8195,"2016-06-22 00:03:18",FALSE,"-0.13642 50.8195",2016-06-06
"236","212","400484426","2016-06-17",NA,"permanent",0,45000,"0","Presales Engineer / <strong>Data</strong> Scientist / <strong>Data</strong> <strong>science</strong> / predictive analytics / London Love data? We are working with a leading predictive analytics vendor who are reinventing <strong>data</strong> ...  <strong>science</strong>. As a Presales Engineer / <strong>Data</strong> Scientist you will be using this cutting edge platform on BI data from a wide variety of companies, demonstrating how they can improve ...","Data Scientist","ITS European.",NA,"it-jobs","IT Jobs","Covent Garden, Central London",-0.12845,51.5114,"2016-06-22 00:03:18",FALSE,"-0.12845 51.5114",2016-06-17
"245","225","386085048","2016-05-10",NA,NA,25000,25000,"0","’ll be working within the <strong>Data</strong> <strong>Science</strong> team making sure we always deliver high quality analysis and insight to both colleagues and clients. You’ll be able to efficiently clean and check raw ...  datasets and conduct routine checks and quality audits on the data stored in the data warehouse, making sure that the <strong>data</strong> <strong>science</strong> team is working on accurate, up to date and verified ...","Senior Data Analyst - Digital Agency - LEEDS - 35K","Inspiring Search",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","Leeds, West Yorkshire",-1.54912,53.799599,"2016-06-22 00:03:18",FALSE,"-1.54912 53.799599",2016-05-10
"258","240","401903904","2016-06-21",NA,NA,36274.86,36274.86,"1","My client who are a global business across media, content and research are looking for a SAS Data Analyst to play a key role in its <strong>Data</strong> <strong>Science</strong> department. The Role ...","SAS Data Analyst","Salt",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-21
"262","244","399921825","2016-06-16",NA,"contract",72000,84000,"0","...  will be working on a day rate contract for a client who perform research in the <strong>data</strong> <strong>science</strong> space. The research department will be expanding hugely over the summer and therefore the successful ...","Linux Systems Administrator- Contract","Oho Group Ltd.",NA,"it-jobs","IT Jobs","South East London, London",-0.02806,51.451818,"2016-06-22 00:03:18",FALSE,"-0.02806 51.451818",2016-06-16
"263","245","399921887","2016-06-16",NA,"permanent",50512,57728,"0","...  will be an integral member of the team, helping to guide the development and work closely with the <strong>Data</strong> <strong>Science</strong> team. The company is part of a major international group and boasts over 50 ...","Senior Scala Developer","Parallel Consulting",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-16
"267","249","399600321","2016-06-15",NA,"permanent",30000,50000,"0",", MATLAB and Bash is highly advantageous. Any practical knowledge of Scientific, Quantitative, Algorithmic or ""<strong>Data</strong> <strong>Science</strong>"" Software would be desirable. You will also be providing advice ...","Software Test Engineer","Technical Futures Limited",NA,"engineering-jobs","Engineering Jobs","East Sussex, South East England",0.239511,50.926542,"2016-06-22 00:03:18",FALSE,"0.239511 50.926542",2016-06-15
"305","287","399921889","2016-06-16",NA,"permanent",70000,85000,"0","Lead Data Scientist A leading financial services organisation are seeking a Lead Data Scientist to join a growing <strong>Data</strong> <strong>Science</strong> team. This is a great opportunity to lead ...  an innovative & strategically important part of their business. The Lead Data Scientist will be a key member of this team helping to define the organisations <strong>Data</strong> <strong>Science</strong> strategy working ...","Lead Data Scientist","Empiric.com",NA,"it-jobs","IT Jobs","South East London, London",-0.02806,51.451818,"2016-06-22 00:03:18",FALSE,"-0.02806 51.451818",2016-06-16
"312","295","391629900","2016-05-25","full_time","permanent",60000,90000,"0","...  working on recommendation in <strong>Data</strong> <strong>Science</strong> Benefits Full coverage, top of the line benefits provided including medical, dental, vision, 401k, commuter benefits. Ability to work in a fast ...  Tags: London | Gaming | <strong>Data</strong> Scientist | <strong>Data</strong> | <strong>Science</strong> | Scientist | Python | NumPy | Pandas | SQL | Recommendation | Computer Science | Machine Learning | Engine ...","Senior Data Scientist - Python - Central London - £60-90k pa","Salt",NA,"it-jobs","IT Jobs","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-05-25
"322","306","399860339","2016-06-15",NA,"permanent",60000,70000,"0",".I'm working with a company that is heavily focused on Data Analytics. Together, we are currently working together in search of a talented Analytics Engineer to transform <strong>Data</strong> <strong>Science</strong> ... I'm working with a company that is heavily focused on Data Analytics. Together, we are currently working together in search of a talented Analytics Engineer to transform <strong>Data</strong> ...","Product Analytics Engineer","Reperio Human Capital Ltd",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-15
"337","322","399061887","2016-06-13",NA,NA,53482.3,53482.3,"1","Analytics Engineer London £85,000 - £90,000  Benefits OVERVIEW This is a great opportunity to join one of the world's best <strong>data</strong> <strong>science</strong> companies. You will be joining a team whose ...","Analytics Engineer (Scala/Spark)","Harnham",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-13
"338","323","401432760","2016-06-20",NA,NA,77833.99,77833.99,"1","...  moving consumer goods company, and work closely with the <strong>data</strong> <strong>science</strong>, database development and key business stakeholders to deliver totally new and innovative data solutions through ...","Head of Data Architecture - Cloud global eCommerce","Energon Global",NA,"it-jobs","IT Jobs","South West London, London",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-20
"339","324","399062046","2016-06-13",NA,NA,53726.27,53726.27,"1","Data Scientist Data Scientist London £75,000 - £80,000 OVERVIEW The Harnham <strong>Data</strong> <strong>Science</strong> team are currently working with an exciting tech company based in central London who ...","Data Scientist","Harnham",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-13
"342","327","401903787","2016-06-21",NA,NA,26792.86,26792.86,"1","...  to run <strong>data</strong>-<strong>science</strong> algorithms; and delivering information back to products; third parties and other systems. Working in the data platform team means that you will: make small ...","Data Engineer","ABRS Ltd",NA,"it-jobs","IT Jobs","UK",NA,NA,"2016-06-22 00:03:18",FALSE,"NA NA",2016-06-21
"349","334","401904236","2016-06-21",NA,NA,61191.99,61191.99,"1","About Essence Essence is a global digital agency that blends <strong>data</strong> <strong>science</strong>, objective media and captivating experiences to build valuable connections between brands and consumers ...","EMEA Support Manager","Essence Media Limited",NA,"it-jobs","IT Jobs","West London, London",-0.23839,51.511529,"2016-06-22 00:03:18",FALSE,"-0.23839 51.511529",2016-06-21
"353","338","398808091","2016-06-12",NA,"permanent",40000,50000,"0","...  for <strong>data</strong> <strong>science</strong> candidates who are enthusiastic about making their next step into a company really revolutionising their market space. The project will involve working closely ...  or send your CV and covering email directly to Darren Ellicott on - Key Skills - | <strong>Data</strong> <strong>Science</strong> | R | Shiny | Python | Models | Analysis | Visualisation | - The Role - Developing bespoke ...","Data Scientist","Salt",NA,"it-jobs","IT Jobs","Wiltshire, South West England",-1.941596,51.352379,"2016-06-22 00:03:18",FALSE,"-1.941596 51.352379",2016-06-12
"354","339","391629897","2016-05-25","full_time","permanent",40000,50000,"0","...  for <strong>data</strong> <strong>science</strong> candidates who are enthusiastic about making their next step into a company really revolutionising their market space. The project will involve working closely ...  or send your CV and covering email directly to Darren Ellicott on darren.ellicottwelovesalt.com - Key Skills - | <strong>Data</strong> <strong>Science</strong> | R | Shiny | Python | Models | Analysis | Visualisation ...","Data Scientist","Salt",NA,"it-jobs","IT Jobs","Wiltshire, South West England",-1.941596,51.352379,"2016-06-22 00:03:18",FALSE,"-1.941596 51.352379",2016-05-25
"357","342","397135692","2016-06-08",NA,"contract",144000,144000,"0","Data Scientist (R Specialist) Forecasting R Programmer We are currently looking for a Data Scientist with strong experience with R. Do you have: - A strong <strong>Data</strong> <strong>science</strong> background ...  in server environment (esp. or e.g. on SAP HANA)  R  <strong>Data</strong> <strong>Science</strong>  Analytics  Senior R Developer  Daily demand forecasting  Contact me for more details - press apply or send your CV ...","Data Scientist (R Specialist) Forecasting R Programmer","MBN Recruitment Solutions Ltd",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","Lea Bridge, East London",-0.027842,51.569302,"2016-06-22 00:03:18",FALSE,"-0.027842 51.569302",2016-06-08
"366","352","401937135","2016-06-21",NA,NA,32353.52,32353.52,"1","...  software, <strong>data</strong> <strong>science</strong>, and customers in the labour market? Do you enjoy having the house in order while exploring new frontiers? Do you know the 80/20 rule and how to set priorities? Do ...  and motivating people and interacting with customers. You have:  A solid exposure to technology Preferably a Master’s degree in technical, statistical or <strong>science</strong> direction that involves <strong>data</strong> ...","Data Quality Manager – Jobfeed - Relocation","Textkernel",NA,"unknown","Unknown","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-06-21
"373","359","392513046","2016-05-27",NA,NA,25000,25000,"0","...  - Have a keen interest in the latest technologies (eg Digital, Big data, Analytics, BI, Internet of Things, <strong>Data</strong> <strong>science</strong>) To apply for this brilliant opportunity send your CV through ...","Marketing Data Analyst - Marketing Agency","Henry Nicholas Associates",NA,"pr-advertising-marketing-jobs","PR, Advertising & Marketing Jobs","Marlow, Buckinghamshire",-0.776902,51.571999,"2016-06-22 00:03:18",FALSE,"-0.776902 51.571999",2016-05-27
"388","375","399922878","2016-06-16",NA,"permanent",50000,60000,"0","...  testing and continuous integration Version control (Git preferred) Desirable skills for Python Developer - Digital Health - Senior: Experience with <strong>data</strong> <strong>science</strong> tools such as Pandas ...","Python Developer - Digital Health - Senior","Oliver Bernard",NA,"it-jobs","IT Jobs","South East London, London",-0.02806,51.451818,"2016-06-22 00:03:18",FALSE,"-0.02806 51.451818",2016-06-16
"399","390","401638028","2016-06-21",NA,NA,108000,108000,"0","...  skilling of departmental staff Embedding the <strong>Data</strong> <strong>Science</strong> capability For any queries please contact Rebecca Eaton on either or ...","Delivery Manager","Interaction Recruitment",NA,"it-jobs","IT Jobs","Sheffield, South Yorkshire",-1.4648,53.383099,"2016-06-22 00:03:18",FALSE,"-1.4648 53.383099",2016-06-21
"426","418","401620713","2016-06-21",NA,"permanent",54600.99,54600.99,"1","...  for someone with good core development skills in Java to join a team on the cutting edge of distributed computing and <strong>data</strong> <strong>science</strong>. Main purpose of role The Senior Engineer works as part ... : Automated system testing, distributed computing on Hadoop, geospatial technologies or <strong>data</strong> <strong>science</strong>. Lead Software Engineer: Main purpose of role The Lead Engineer works as part of an Agile ...","Senior Software Engineer / Lead Software Engineer (Java)","Progressive Recruitment IT",NA,"it-jobs","IT Jobs","Taunton, Somerset",-3.10345,51.014702,"2016-06-22 00:03:18",FALSE,"-3.10345 51.014702",2016-06-21
"444","439","391656690","2016-05-25","full_time","permanent",80000,85000,"0","Analytics Engineer London 85,000 - 85,000  Benefits OVERVIEW This is a great opportunity to join one of the UK's leading analytics consultancies in their <strong>Data</strong> <strong>Science</strong> team. You ...  Development, Algorithm Design, Algorithm, Hive, PIG, MongoDB, <strong>Data</strong> Scientist, <strong>Data</strong> <strong>Science</strong>, Big <strong>Data</strong>, mySQL, noSQL, Insight, Consultancy.","Analytics Engineer","Harnham",NA,"consultancy-jobs","Consultancy Jobs","London, UK",-0.139134,51.503378,"2016-06-22 00:03:18",FALSE,"-0.139134 51.503378",2016-05-25
